"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"29"	"Positive Regulation of RNA Biosynthetic Process (GO:1902680)"	"29"	0.000443153887293752	0.0133251789558673	0	0	5.73099918099918	44.2524458689639	"EOMES;NPM1;ELF2;CTNNB1;HMGA2;TP53;NFKB1"
"30"	"Negative Regulation of Cell Cycle Phase Transition (GO:1901988)"	"30"	0.000460653796949756	0.0133896703646729	0	0	76.2040816326531	585.465578652383	"APC;PTEN"
"31"	"Membraneless Organelle Assembly (GO:0140694)"	"31"	0.000517372131839617	0.0145531773859402	0	0	11.8927426406296	89.9893883933038	"NPM1;ATXN2;CENPW;NCOR1"
"32"	"Regulation of Attachment of Spindle Microtubules to Kinetochore (GO:0051988)"	"32"	0.000536579176782036	0.0146217825673105	0	0	69.8503401360544	525.99376672148	"CDC42;APC"
"33"	"Regulation of Cell Cycle Process (GO:0010564)"	"33"	0.000628996508587673	0.0161857009644543	0	0	11.2705167173252	83.0793162044646	"CDC42;APC;CTNNB1;HMGA2"
"34"	"G1/S Transition of Mitotic Cell Cycle (GO:0000082)"	"34"	0.000639684552278962	0.0161857009644543	0	0	19.6951923076923	144.848988843392	"CDKN1B;CDK6;SKP2"
"35"	"Cell Cycle G1/S Phase Transition (GO:0044843)"	"35"	0.000696278411750061	0.0161857009644543	0	0	19.1054104477612	138.891767011915	"CDKN1B;CDK6;SKP2"
"36"	"Negative Regulation of Androgen Receptor Signaling Pathway (GO:0060766)"	"36"	0.000705340179643653	0.0161857009644543	0	0	59.865889212828	434.436601602493	"NCOR1;FOXP1"
"37"	"Regulation of Monocyte Differentiation (GO:0045655)"	"37"	0.000705340179643653	0.0161857009644543	0	0	59.865889212828	434.436601602493	"CDK6;FOXP1"
"38"	"Dendritic Spine Morphogenesis (GO:0060997)"	"38"	0.000705340179643653	0.0161857009644543	0	0	59.865889212828	434.436601602493	"CDC42;PTEN"
"39"	"Negative Regulation of Cell Cycle (GO:0045786)"	"39"	0.000884913720053778	0.0190663129221614	0	0	17.5299657534247	123.23601701869	"CDKN1B;CDK6;APC"
"40"	"Regulation of Cell Cycle G2/M Phase Transition (GO:1902749)"	"40"	0.000896466547945661	0.0190663129221614	0	0	52.3775510204082	367.535872372149	"NPM1;TP53"
"41"	"Negative Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)"	"41"	0.000896466547945661	0.0190663129221614	0	0	52.3775510204082	367.535872372149	"CDKN1B;PTEN"
"42"	"DNA Damage Response (GO:0006974)"	"42"	0.000944310370134521	0.019605681970412	0	0	5.87485380116959	40.9186837426178	"NPM1;DYRK2;HERC2;APC;TP53;FOXP1"
"43"	"Positive Regulation of Cellular Process (GO:0048522)"	"43"	0.000999080403734355	0.020260421210613	0	0	4.96473354231975	34.2997319866438	"CDC42;NPM1;PTEN;CTNNB1;RICTOR;TP53;NFKB1"
"44"	"Positive Regulation of Cell Population Proliferation (GO:0008284)"	"44"	0.00121247735204481	0.0237303702853877	0	0	5.58636047320807	37.5129111939958	"NPM1;CDK6;PTEN;CTNNB1;HMGA2;FOXP1"
"45"	"Mesoderm Formation (GO:0001707)"	"45"	0.00122461773261749	0.0237303702853877	0	0	44.1009667024705	295.702562218657	"EOMES;HMGA2"
"46"	"Regulation of Epithelial to Mesenchymal Transition (GO:0010717)"	"46"	0.00126602319683573	0.02399939625306	0	0	15.4103915662651	102.816200567748	"PTEN;CTNNB1;FBXO11"
"47"	"Positive Regulation of Endothelial Cell Migration (GO:0010595)"	"47"	0.00130896198067749	0.0242854222798036	0	0	15.2261904761905	101.079382744796	"AKT3;PIK3CD;FOXP1"
"48"	"Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)"	"48"	0.00134882212233554	0.0245036018890957	0	0	9.11892497200448	60.2626306046885	"GRB10;ITGB8;NFKB1;FOXP1"
"49"	"Negative Regulation of Protein Serine/Threonine Kinase Activity (GO:0071901)"	"49"	0.00147071314863681	0.0254737481474485	0	0	39.8969873663751	260.208465221923	"PTPN1;APC"
"50"	"Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage by P53 Class Mediator (GO:0042771)"	"50"	0.00147071314863681	0.0254737481474485	0	0	39.8969873663751	260.208465221923	"DYRK2;TP53"
"51"	"Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)"	"51"	0.00148986371045857	0.0254737481474485	0	0	14.53125	94.584932631411	"CDKN1B;APC;PTEN"
"52"	"Regulation of Programmed Cell Death (GO:0043067)"	"52"	0.00162203733274723	0.0269875969993686	0	0	8.65872340425532	55.6242652357993	"SKP2;FBXO11;LRP8;TP53"
"53"	"Positive Regulation of Cell Migration (GO:0030335)"	"53"	0.00164030119376896	0.0269875969993686	0	0	6.42194253750318	41.1831173142882	"CDC42;APC;PIK3CD;RICTOR;FOXP1"
"54"	"Positive Regulation of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)"	"54"	0.00168573873829583	0.0272215588850734	0	0	13.8967391304348	88.7383418833546	"CDC42;APC;PLEKHM1"
"55"	"Positive Regulation of Morphogenesis of an Epithelium (GO:1905332)"	"55"	0.00173842240934699	0.0275618971081923	0	0	36.4241348713398	231.46726320576	"PIK3CD;CTNNB1"
"56"	"Positive Regulation of Canonical Wnt Signaling Pathway (GO:0090263)"	"56"	0.00178942878943595	0.0275985463956609	0	0	13.5997340425532	86.0299975713466	"USP34;NFKB1;WLS"
"57"	"Negative Regulation of Axonogenesis (GO:0050771)"	"57"	0.00188031613168446	0.0275985463956609	0	0	34.9047619047619	219.073293319284	"BCL11A;PTEN"
"58"	"Negative Regulation of Synaptic Transmission (GO:0050805)"	"58"	0.00188031613168446	0.0275985463956609	0	0	34.9047619047619	219.073293319284	"PTEN;CTNNB1"
"59"	"Macrophage Differentiation (GO:0030225)"	"59"	0.00188031613168446	0.0275985463956609	0	0	34.9047619047619	219.073293319284	"CDC42;NPM1"
"60"	"Regulation of Angiogenesis (GO:0045765)"	"60"	0.00189898255016016	0.0275985463956609	0	0	8.28219484882419	51.8998525413384	"CTNNB1;ITGB8;HMGA2;PIK3CD"
"61"	"Chromatin Organization (GO:0006325)"	"61"	0.00195002806777924	0.027625153228889	0	0	6.16511968734734	38.4698013147276	"BRD3;MLLT10;NPM1;CENPW;HMGA2"
"62"	"Regulation of Glycogen Biosynthetic Process (GO:0005979)"	"62"	0.00202753418193681	0.027625153228889	0	0	33.5069387755102	207.774346479535	"DYRK2;GRB10"
"63"	"Dendritic Spine Organization (GO:0097061)"	"63"	0.00202753418193681	0.027625153228889	0	0	33.5069387755102	207.774346479535	"CDC42;PTEN"
"64"	"Regulation of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947)"	"64"	0.00202753418193681	0.027625153228889	0	0	33.5069387755102	207.774346479535	"PTPN1;GRB10"
"65"	"Regulation of Cell Growth (GO:0001558)"	"65"	0.00210086014497914	0.0281838468680278	0	0	8.04868876793667	49.623453542179	"CDC42;CDKN1B;RICTOR;TP53"
