go_id	original_term	simplified_term	group	theme	traits	best_adjp	genes
GO:0060317	Cardiac Epithelial to Mesenchymal Transition	Cardiac EMT	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.00716071030208005	BMP2;SNAI2;TGFB2
GO:0062043	Positive Regulation of Cardiac Epithelial to Mesenchymal Transition	Cardiac EMT	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0252083743033831	JAG1;TGFB2
GO:0035051	Cardiocyte Differentiation	Cardiac muscle development	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0358741067869525	BMP2;TGFB2
GO:2000726	Negative Regulation of Cardiac Muscle Cell Differentiation	Cardiac muscle development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0161513017728003	BMP2;FRS2
GO:1905208	Negative Regulation of Cardiocyte Differentiation	Cardiac muscle development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0206234616157452	BMP2;FRS2
GO:1905209	Positive Regulation of Cardiocyte Differentiation	Cardiac muscle development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.0237974666212436	MEF2C;TGFB2
GO:2000725	Regulation of Cardiac Muscle Cell Differentiation	Cardiac muscle development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00233182293591666	BMP2;FRS2;MEF2C
GO:0099622	Cardiac Muscle Cell Membrane Repolarization	Cardiac repolarization	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.0302121034980929	KCNJ2;KCNQ1
GO:0086011	Membrane Repolarization During Action Potential	Cardiac repolarization	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.044520836610543	KCNJ2;KCNQ1
GO:0086013	Membrane Repolarization During Cardiac Muscle Cell Action Potential	Cardiac repolarization	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0485259709952622	KCNJ2;KCNQ1
GO:0060413	Atrial Septum Morphogenesis	Cardiac septum/chamber development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0405367967367065	SOX4;TGFB2
GO:0003215	Cardiac Right Ventricle Morphogenesis	Cardiac septum/chamber development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0054198827686391	JAG1;SOX4;TGFB2
GO:0003208	Cardiac Ventricle Morphogenesis	Cardiac septum/chamber development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.0132451515524863	JAG1;MEF2C;SOX4;TGFB2
GO:0003281	Ventricular Septum Development	Cardiac septum/chamber development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00933903325075265	ADAMTS19;SALL1;SLIT3;SOX4;TGFB2
