"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"12"	"Positive Regulation of Cell Differentiation (GO:0045597)"	"12"	9.56882476884442e-11	1.64902746849752e-08	0	0	7.12659574468085	164.410033815484	"TCF7L2;MEF2C;TGFB2;PKDCC;IGFBP3;LEF1;IGF1;RUNX2;BMP6;LOXL2;BMP2;DAB2;BOC;CTNNB1;BMPR1B;NBL1;SOX4;SOX5;WNT4;EZH2"
"13"	"Epithelial to Mesenchymal Transition (GO:0001837)"	"13"	1.11278827530882e-10	1.77018934872202e-08	0	0	24.2130952380952	554.939496458297	"TGFB2;BMP2;DLG5;WNT5A;LEF1;HMGA2;CTNNB1;IGF1;LOXL2;WNT4"
"14"	"Regulation of Epithelial to Mesenchymal Transition (GO:0010717)"	"14"	1.24452516688463e-10	1.83834146079815e-08	0	0	15.8303014553015	361.043218690564	"TCF7L2;SPRED1;TGFB2;BMP2;DAB2;LEF1;PTEN;CTNNB1;SPRY2;LOXL2;BMP5;EZH2"
"15"	"Negative Regulation of Cell Population Proliferation (GO:0008285)"	"15"	2.32900932269865e-10	3.21092751956054e-08	0	0	6.04196859903382	134.0133282641	"TGFB2;CDKN2C;IGFBP3;WNT5A;WWC2;PTEN;HMGA1;PEX2;SMAD6;PTPN14;PML;BMP5;SKI;SFRP4;BMP2;CDK6;DLC1;MYC;DLG5;CTNNB1;BMPR1B;VGLL4"
"16"	"Negative Regulation of Cell Differentiation (GO:0045596)"	"16"	2.97194733893271e-10	3.84124193557053e-08	0	0	8.20079869912478	179.897915652929	"SUZ12;JAG1;PTCH1;WNT5A;PTEN;SMAD6;FOXO1;BMP5;SKI;NFKBIA;BMP2;SPRED1;EFEMP1;CDK6;SUFU;SPRY2;SOX4"
"17"	"Positive Regulation of RNA Biosynthetic Process (GO:1902680)"	"17"	3.73396058647048e-10	4.54225323107114e-08	0	0	4.96151330973996	107.706423448401	"KMT2E;MAX;LEF1;FOXO3;FOXO1;GLI2;MED13;MYC;ZIC1;SPIN1;SOX4;WNT4;NCOA1;MEF2C;PCGF5;WNT5A;HMGA1;HMGA2;IGF1;ESR1;RUNX2;BMP2;RYBP;CTNNB1;CREB5;NFE2L2"
"18"	"Regulation of Apoptotic Process (GO:0042981)"	"18"	8.73186485112092e-10	1.00319425067323e-07	0	0	4.31954574342523	90.1008516254733	"LEF1;PIK3R1;FOXO3;FOXO1;IGF1R;SOCS2;CCND2;GRK5;MYC;ABL1;SKP2;SOX4;MEF2C;IGFBP3;WNT5A;ANXA5;HMGA2;IGF1;SMAD6;SFRP4;BMP2;DAB2;RYBP;LATS2;BCL6;KCNMA1;SPRY2;CTNNB1;GAS1"
"19"	"Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718)"	"19"	2.17651957970909e-09	2.36896973202021e-07	0	0	21.6885071090047	432.588959167841	"TCF7L2;TGFB2;BMP2;DAB2;JAG1;LEF1;CTNNB1;LOXL2;EZH2"
"20"	"Regulation of RNA Biosynthetic Process (GO:2001141)"	"20"	5.15518862882023e-09	5.33046504220012e-07	0	0	4.84006979695431	92.3643206565663	"KMT2E;ZNF462;MEF2C;BNC2;ZBTB38;INSR;WWC2;HMGA1;HMGA2;SPTY2D1;ESR1;PML;UBE2L3;RBL2;BMP2;RYBP;EFEMP1;ZFAT;SUFU;SPIN1;ABL1;SOX4;EZH2"
"21"	"Negative Regulation of Cellular Process (GO:0048523)"	"21"	5.83254822909202e-09	5.74367130369633e-07	0	0	4.6216342050128	87.6253149344075	"SUZ12;TGFB2;CDKN2C;IGFBP3;WWC2;PTEN;HMGA1;HMGA2;SMAD6;PTPN14;PML;BMP5;NFKBIA;SKI;SFRP4;BMP2;CDK6;BCL6;DLC1;MYC;DLG5;CTNNB1;SLIT3;VGLL4"
