"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"88"	"Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896)"	"88"	3.60133928110605e-05	0.000846314731059922	0	0	4.89012854717439	50.0339354133293	"TCF7L2;TGFB2;RYK;IRS1;INSR;WNT5A;PTEN;SPRY2;PRKCA;IGF1;IGF1R"
"89"	"Response to Transforming Growth Factor Beta (GO:0071559)"	"89"	3.8217732008055e-05	0.000888025503288289	0	0	15.264816204051	155.276930714016	"MEF2C;WNT5A;PDE3A;SOX5;WNT4"
"90"	"Regulation of Cortisol Biosynthetic Process (GO:2000064)"	"90"	4.07495871425539e-05	0.000907380004899923	0	0	70.4205069124424	711.815050626743	"BMP2;BMP5;WNT4"
"91"	"Type B Pancreatic Cell Development (GO:0003323)"	"91"	4.07495871425539e-05	0.000907380004899923	0	0	70.4205069124424	711.815050626743	"CDK6;BMP6;BMP5"
"92"	"Negative Regulation of Steroid Metabolic Process (GO:0045939)"	"92"	4.07495871425539e-05	0.000907380004899923	0	0	70.4205069124424	711.815050626743	"BMP2;BMP5;WNT4"
"93"	"Wnt Signaling Pathway (GO:0016055)"	"93"	4.08057739147451e-05	0.000907380004899923	0	0	8.33879107981221	84.2775511439564	"SFRP4;TCF7L2;RYK;WNT5A;LEF1;CTNNB1;WNT4"
"94"	"Cellular Response to BMP Stimulus (GO:0071773)"	"94"	4.28973545632187e-05	0.00093395671126773	0	0	10.5529595015576	106.127952031262	"BMP2;SMAD6;BMPR1B;RUNX2;BMP6;BMP5"
"95"	"Regulation of Steroid Biosynthetic Process (GO:0050810)"	"95"	4.32633080946031e-05	0.00093395671126773	0	0	25.1407407407407	252.619333666842	"BMP2;FGFR4;BMP5;WNT4"
"96"	"Regulation of D-glucose Import Across Plasma Membrane (GO:0046324)"	"96"	4.38074472886701e-05	0.00093395671126773	0	0	14.7870639534884	148.398637170101	"IRS1;INSR;GRB10;PIK3R1;IGF1"
"97"	"Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)"	"97"	4.38074472886701e-05	0.00093395671126773	0	0	14.7870639534884	148.398637170101	"MEF2C;BMP2;IGFBP3;PTEN;PRKG1"
"98"	"Regulation of Bone Mineralization (GO:0030500)"	"98"	4.71568562372177e-05	0.000995105905087411	0	0	10.360577740017	103.212398138196	"MEF2C;BMP2;PKDCC;BMPR1B;BMP6;WNT4"
"99"	"Cellular Response to Hormone Stimulus (GO:0032870)"	"99"	5.07835942496665e-05	0.0010608128576597	0	0	8.03620114259856	79.4614522517447	"GHR;NCOA1;SOCS2;MEF2C;SLIT3;ESR1;UBE2L3"
"100"	"Cartilage Development (GO:0051216)"	"100"	5.17483286584568e-05	0.00107015543665689	0	0	10.1750667556742	100.418938771596	"MEF2C;BMP2;HMGA2;TRIP11;RUNX2;SOX5"
"101"	"Regulation of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567)"	"101"	5.36276555242648e-05	0.00108727442768804	0	0	23.568287037037	231.757469917491	"BMP2;IGFBP3;IGF1;BMP5"
"102"	"Pulmonary Valve Morphogenesis (GO:0003184)"	"102"	5.36276555242648e-05	0.00108727442768804	0	0	23.568287037037	231.757469917491	"TGFB2;JAG1;ADAMTS19;SMAD6"
"103"	"Cellular Response to Oxygen-Containing Compound (GO:1901701)"	"103"	6.29847980564231e-05	0.00126458798427847	0	0	3.71613878720357	35.944787807183	"MEF2C;IRS1;ABCB4;WNT5A;PEX2;IGF1;ESR1;FOXO1;IGF1R;KCNQ1;PDE3A;GNAS;SLC38A2;CDON"
"104"	"Positive Regulation of SMAD Protein Signal Transduction (GO:0060391)"	"104"	6.44308888129012e-05	0.00127399486226955	0	0	13.5176079734219	130.443800387651	"TGFB2;BMP2;DAB2;BMP6;BMP5"
"105"	"Regulation of Organ Growth (GO:0046620)"	"105"	6.4685425792216e-05	0.00127399486226955	0	0	56.3336405529954	543.392868156818	"LATS2;WWC2;PTEN"
"106"	"Regulation of Cell Migration (GO:0030334)"	"106"	6.55037016307423e-05	0.00127794014124882	0	0	3.35151056130607	32.2864549238183	"JAG1;INSR;LEF1;PTEN;PRKCA;IGF1;FOXO3;IGF1R;BMP2;DAB2;DLC1;DLG5;FGF18;GNA12;SPRY2;EZH2"
"107"	"Neuron Differentiation (GO:0030182)"	"107"	6.85876738816195e-05	0.00131648622153299	0	0	4.98050826548236	47.7501135909337	"MEF2C;TGFB2;RYK;WNT5A;ID4;CTNNB1;SOX4;RUNX2;GLI2;WNT4"
"108"	"Regulation of MAPK Cascade (GO:0043408)"	"108"	6.8752665341181e-05	0.00131648622153299	0	0	4.18675367953346	40.1300133088446	"GHR;MEF2C;BMP2;SPRED1;RYK;INSR;WNT5A;FGF18;LPAR1;IGF1;IGF1R;WNT4"
"109"	"Pulmonary Valve Development (GO:0003177)"	"109"	7.96215965777798e-05	0.00151061891488852	0	0	20.9475308641975	197.707513431425	"TGFB2;JAG1;ADAMTS19;SMAD6"
"110"	"Aortic Valve Development (GO:0003176)"	"110"	8.18640402146352e-05	0.00152517869516996	0	0	12.7856693903206	120.318911885307	"BMP2;JAG1;ADAMTS19;SLIT3;SMAD6"
"111"	"Digestive Tract Development (GO:0048565)"	"111"	8.18640402146352e-05	0.00152517869516996	0	0	12.7856693903206	120.318911885307	"NIPBL;TGFB2;PKDCC;PCSK5;GLI2"
"112"	"Eye Development (GO:0001654)"	"112"	9.48399596808616e-05	0.00174625642158492	0	0	9.04138851802403	83.7532725723284	"SKI;NIPBL;TGFB2;EFEMP1;SMOC1;BMPR1B"
"113"	"Growth Hormone Receptor Signaling Pathway (GO:0060396)"	"113"	9.55801227923639e-05	0.00174625642158492	0	0	19.8440545808967	183.667553652033	"GHR;SOCS2;IGF1;PIK3R1"
"114"	"Mitral Valve Development (GO:0003174)"	"114"	9.62636518668669e-05	0.00174625642158492	0	0	46.9423963133641	434.142985518422	"ADAMTS19;SMAD6;SOX4"
"115"	"Positive Regulation of Cell Migration (GO:0030335)"	"115"	9.75052602366529e-05	0.00175339894060346	0	0	3.76905609071712	34.8095103755543	"TGFB2;INSR;WNT5A;LEF1;PRKCA;IGF1;IGF1R;BMP2;DAB2;NIPBL;ABL1;SPRY2;EZH2"
"116"	"Cellular Component Assembly (GO:0022607)"	"116"	0.000100189617780637	0.00178613904802032	0	0	3.54817612613754	32.6731882192876	"SUZ12;SPAG17;MAX;PCGF5;WNT5A;HMGA2;SPTY2D1;PML;CD2AP;RYBP;CALD1;MICAL1;SCMH1;EZH2"
"117"	"Regulation of Angiogenesis (GO:0045765)"	"117"	0.000102249398526538	0.00180190088042653	0	0	4.73281726483697	43.4855777017105	"TGFB2;SPRED1;WNT5A;FGF18;CTNNB1;HMGA2;SPRY2;PRKCA;THBS2;PML"
"118"	"Kidney Development (GO:0001822)"	"118"	0.000102816394531108	0.00180190088042653	0	0	8.89967873831776	81.721885059763	"NIPBL;TGFB2;PCSK5;SOX4;GLI2;WNT4"
"119"	"Negative Regulation of Multicellular Organismal Process (GO:0051241)"	"119"	0.000113109880781046	0.00196564061727062	0	0	4.27228353140917	38.8228847761951	"MEF2C;SPRED1;PTCH1;NPR3;WWC2;PTEN;GNAS;SPRY2;SMAD6;BMP5;LOXL2"
"120"	"Bone Development (GO:0060348)"	"120"	0.00012742160545517	0.00219589900067744	0	0	11.5360181508792	103.455117388861	"SKI;SFRP4;GNAS;DYM;BMP6"
"121"	"Regulation of Cardiac Muscle Cell Differentiation (GO:2000725)"	"121"	0.000136436448378102	0.00233182293591666	0	0	40.2343647136274	358.071829562086	"BMP2;MEF2C;FRS2"
"122"	"Chromosome Organization (GO:0051276)"	"122"	0.000156438920643227	0.00264581793797419	0	0	10.9983775013521	96.3770762795231	"TCF7L2;CENPW;MYC;DOT1L;ABL1"
"123"	"Positive Regulation of D-glucose Import Across Plasma Membrane (GO:0046326)"	"123"	0.000157367314492662	0.00264581793797419	0	0	17.1355218855219	150.054529721901	"IRS1;INSR;PIK3R1;IGF1"
"124"	"Cellular Response to Insulin Stimulus (GO:0032869)"	"124"	0.000161191025546718	0.00268825032927914	0	0	6.59814995584065	57.6211183663249	"IRS1;INSR;GRB10;PIK3R1;IGF1;FOXO1;IGF1R"
"125"	"Regulation of Canonical Wnt Signaling Pathway (GO:0060828)"	"125"	0.000166078513445913	0.00274760292644918	0	0	4.44510582010582	38.6859778025373	"SFRP4;TCF7L2;BMP2;DAB2;PPM1B;LATS2;WNT5A;GPC5;SOX4;CDON"
"126"	"Regulation of Glycogen Biosynthetic Process (GO:0005979)"	"126"	0.000183196665709115	0.00298374415954639	0	0	16.389694041868	141.032502763565	"IRS1;INSR;GRB10;IGF1"
"127"	"Embryonic Appendage Morphogenesis (GO:0035113)"	"127"	0.000186123305890466	0.00298374415954639	0	0	35.2033410138249	302.365057454562	"SKI;TGFB2;PTCH1"
"128"	"Type B Pancreatic Cell Differentiation (GO:0003309)"	"128"	0.000186123305890466	0.00298374415954639	0	0	35.2033410138249	302.365057454562	"CDK6;BMP6;BMP5"
"129"	"Mitral Valve Morphogenesis (GO:0003183)"	"129"	0.000186123305890466	0.00298374415954639	0	0	35.2033410138249	302.365057454562	"ADAMTS19;SMAD6;SOX4"
"130"	"Nervous System Development (GO:0007399)"	"130"	0.000195148926647302	0.0031043690792817	0	0	3.03120469977874	25.89178536182	"MEF2C;JAG1;RYK;LPAR1;PTEN;CABLES1;DNM3;ACAN;ZIC1;BOC;FGF18;IGF2BP3;IGF2BP2;NBL1;SOX4;CDON"
"131"	"Regulation of Signal Transduction (GO:0009966)"	"131"	0.000219991545997222	0.00347284364215462	0	0	4.28465136054422	36.0849971547313	"SOCS2;GRK5;HHIP;IGFBP3;PTCH1;ZIC1;GNAS;AFAP1;GAS1;NUCKS1"
"132"	"Ventricular Septum Morphogenesis (GO:0060412)"	"132"	0.000243814808303985	0.00379104529001986	0	0	15.077037037037	125.427402986392	"TGFB2;ADAMTS19;SLIT3;SOX4"
"133"	"Positive Regulation of Fibroblast Proliferation (GO:0048146)"	"133"	0.000243814808303985	0.00379104529001986	0	0	15.077037037037	125.427402986392	"CDK6;MYC;WNT5A;IGF1"
"134"	"Negative Regulation of Steroid Biosynthetic Process (GO:0010894)"	"134"	0.000246211726326156	0.00379726525578412	0	0	31.2903225806452	260.001263051493	"BMP2;BMP5;WNT4"
"135"	"Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)"	"135"	0.000247887238651284	0.00379726525578412	0	0	4.65597540668631	38.6564062136646	"RBL2;MEF2C;TGFB2;BMP2;GRB10;IGF1;CCDC3;ESR1;WNT4"
"136"	"Positive Regulation of Epithelial Cell Proliferation (GO:0050679)"	"136"	0.000264443378968727	0.0040210949096127	0	0	6.05561246265472	49.8854293693291	"TCF7L2;MYC;WNT5A;PRKCA;IGF1;BMP6;BMP5"
"137"	"Mitotic Cell Cycle Phase Transition (GO:0044772)"	"137"	0.000278608427181788	0.0041807103213224	0	0	6.00076132470499	49.1204514706507	"CCND3;CCNJ;CCND2;CDK6;LATS2;MYC;SKP2"
"138"	"Negative Regulation of Mitotic Cell Cycle (GO:0045930)"	"138"	0.000278983570765227	0.0041807103213224	0	0	14.4964387464387	118.644039555455	"BCL6;CTNNB1;GAS1;PML"
"139"	"Midbrain Dopaminergic Neuron Differentiation (GO:1904948)"	"139"	0.00031755791468226	0.00469213921549988	0	0	28.1599078341014	226.82384341203	"RYK;WNT5A;CTNNB1"
"140"	"Dorsal/ventral Pattern Formation (GO:0009953)"	"140"	0.000317649656755311	0.00469213921549988	0	0	13.9588477366255	112.432397435748	"PTCH1;BMPR1B;NBL1;GLI2"
"141"	"Negative Regulation of Canonical Wnt Signaling Pathway (GO:0090090)"	"141"	0.000324800905615982	0.0047301991043229	0	0	5.84198171485051	46.9245389874421	"SFRP4;TCF7L2;BMP2;DAB2;LATS2;WNT5A;CDON"
"142"	"Positive Regulation of Wnt Signaling Pathway (GO:0030177)"	"142"	0.000324800905615982	0.0047301991043229	0	0	5.84198171485051	46.9245389874421	"SKI;SFRP4;BMP2;PPM1B;SPIN1;GPC5;SOX4"
"143"	"Positive Regulation of Developmental Process (GO:0051094)"	"143"	0.000338635420863891	0.00489718916326242	0	0	4.04701627486438	32.3380335463741	"NCOA1;BMP2;DLG5;INSR;WNT5A;LEF1;CTNNB1;BMPR1B;SOX5;BMP5"
"144"	"Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)"	"144"	0.000353901832768335	0.00508242354281192	0	0	9.09078711985689	72.2398579567838	"L3MBTL3;GNA12;PTEN;PML;NFE2L2"
"145"	"Negative Regulation of Cell Growth (GO:0030308)"	"145"	0.000376944708716724	0.00537601143190473	0	0	5.69134464909113	44.8672149446682	"TGFB2;LATS2;CDKN2C;BCL6;SLIT3;VGLL4;PML"
"146"	"Heart Morphogenesis (GO:0003007)"	"146"	0.000383958544685049	0.0054198827686391	0	0	8.91882404563405	70.146336779535	"NIPBL;TGFB2;BMP2;INSR;DLC1"
"147"	"Generation of Neurons (GO:0048699)"	"147"	0.000385474951599461	0.0054198827686391	0	0	4.36976447662809	34.3508686236383	"MEF2C;TGFB2;CDK6;RYK;WNT5A;ID4;SOX4;RUNX2;WNT4"
"148"	"Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)"	"148"	0.000395741761519547	0.0054198827686391	0	0	5.6428344075754	44.210189408185	"KMT2E;RBL2;CCND3;CCND2;CDKN2C;PTEN;E2F7"
"149"	"Positive Regulation of Protein Catabolic Process (GO:0045732)"	"149"	0.000395741761519547	0.0054198827686391	0	0	5.6428344075754	44.210189408185	"L3MBTL3;WNT5A;PTEN;FOXO1;VGLL4;NFE2L2;SH3D19"
"150"	"Atrioventricular Valve Development (GO:0003171)"	"150"	0.000400987458221364	0.0054198827686391	0	0	25.598659405111	200.221972858793	"TGFB2;BMP2;SLIT3"
"151"	"Cardiac Right Ventricle Morphogenesis (GO:0003215)"	"151"	0.000400987458221364	0.0054198827686391	0	0	25.598659405111	200.221972858793	"TGFB2;JAG1;SOX4"
"152"	"Secondary Palate Development (GO:0062009)"	"152"	0.000400987458221364	0.0054198827686391	0	0	25.598659405111	200.221972858793	"TGFB2;LEF1;WNT5A"
"153"	"Positive Regulation of Glycogen Biosynthetic Process (GO:0045725)"	"153"	0.000400987458221364	0.0054198827686391	0	0	25.598659405111	200.221972858793	"IRS1;INSR;IGF1"
"154"	"Response to Estradiol (GO:0032355)"	"154"	0.00040625950079341	0.00545548472494008	0	0	12.9948914431673	101.47084943411	"GHR;SOCS2;CTNNB1;ESR1"
"155"	"Positive Regulation of D-glucose Transmembrane Transport (GO:0010828)"	"155"	0.000456600749836208	0.0060919377462018	0	0	12.5611111111111	96.6163131762091	"IRS1;INSR;PIK3R1;IGF1"
"156"	"Positive Regulation of DNA Metabolic Process (GO:0051054)"	"156"	0.000487755157250161	0.00646588246918803	0	0	6.53947792458911	49.8680772235713	"SMCHD1;MYC;EYA4;FGFR4;PML;GLI2"
"157"	"Proteolysis (GO:0006508)"	"157"	0.000494432016901113	0.00646797557019405	0	0	3.34031791907514	25.4268370207531	"USP25;ACAN;ADAMTS3;ADAMTS19;PAPPA;PTCH1;ADAMTS17;ECE1;PCSK5;HGFAC;ADAMTS10;PAPPA2"
"158"	"Bone Morphogenesis (GO:0060349)"	"158"	0.000497295994033295	0.00646797557019405	0	0	23.4642857142857	178.476986501595	"SKI;SFRP4;BMPR1B"
"159"	"Negative Regulation of Smooth Muscle Cell Migration (GO:0014912)"	"159"	0.000497295994033295	0.00646797557019405	0	0	23.4642857142857	178.476986501595	"MEF2C;IGFBP3;PRKG1"
"160"	"Negative Regulation of Developmental Growth (GO:0048640)"	"160"	0.000511233853861807	0.00660769756116386	0	0	12.1553166069295	92.121296589307	"PTCH1;WWC2;PTEN;GNAS"
"161"	"Negative Regulation of Angiogenesis (GO:0016525)"	"161"	0.000516435446998278	0.00663346897138161	0	0	6.46484706881903	48.9295846044498	"SPRED1;TGFB2;CTNNB1;SPRY2;THBS2;PML"
"162"	"Chromatin Organization (GO:0006325)"	"162"	0.000532332297649485	0.00679545179962429	0	0	3.31110866211153	24.9599405155621	"NIPBL;KDM4B;RYBP;CENPW;MYC;HMGA2;NUCKS1;SPTY2D1;ESR1;PML;LOXL2;EZH2"
"163"	"Epithelial Cell Differentiation (GO:0030855)"	"163"	0.000600933742959425	0.00762411644441773	0	0	5.24061957044102	38.8698109506234	"TGFB2;DAB2;JAG1;CTNNB1;HNRNPH3;E2F7;GLI2"
"164"	"Positive Regulation of Glycogen Metabolic Process (GO:0070875)"	"164"	0.000607249864627085	0.00765727268322446	0	0	21.6582772066643	160.41355082399	"IRS1;INSR;IGF1"
"165"	"Regulation of Insulin Secretion (GO:0050796)"	"165"	0.00064451026921768	0.00807786204086159	0	0	6.18254774481918	45.4233007085695	"TCF7L2;IRS1;GNAS;PRKCA;SOX4;FOXO1"
"166"	"Negative Regulation of Epithelial to Mesenchymal Transition (GO:0010719)"	"166"	0.000702913319034291	0.00870433978301146	0	0	11.0811546840959	80.4522522123666	"SPRED1;PTEN;SPRY2;BMP5"
"167"	"Positive Regulation of Smoothened Signaling Pathway (GO:0045880)"	"167"	0.000702913319034291	0.00870433978301146	0	0	11.0811546840959	80.4522522123666	"DLG5;BOC;GAS1;CDON"
"168"	"Regulation of Smooth Muscle Cell Apoptotic Process (GO:0034391)"	"168"	0.000731586761816027	0.00900548466330681	0	0	20.1102699144174	145.202076011656	"IGF1;ESR1;FOXO1"
"169"	"Positive Regulation of T Cell Differentiation (GO:0045582)"	"169"	0.000748815136383719	0.00916301598841142	0	0	7.62078019504876	54.8468954295258	"BCL6;LEF1;FOXO3;SOX4;GLI2"
"170"	"Aortic Valve Morphogenesis (GO:0003180)"	"170"	0.000776747446387551	0.00933903325075265	0	0	10.7640211640212	77.0746465224298	"JAG1;ADAMTS19;SLIT3;SMAD6"
"171"	"Ventricular Septum Development (GO:0003281)"	"171"	0.000776747446387551	0.00933903325075265	0	0	10.7640211640212	77.0746465224298	"TGFB2;ADAMTS19;SLIT3;SOX4"
"172"	"Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902)"	"172"	0.000776747446387551	0.00933903325075265	0	0	10.7640211640212	77.0746465224298	"WNT5A;FGF18;HMGA2;EZH2"
"173"	"Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)"	"173"	0.000855894132056531	0.0101766205131661	0	0	10.4645061728395	73.9146147869743	"MEF2C;PTEN;IGF1;PRKG1"
"174"	"Chordate Embryonic Development (GO:0043009)"	"174"	0.000856504875671905	0.0101766205131661	0	0	7.38190406976744	52.1358088211387	"BMP2;PTCH1;WNT5A;PCSK5;BMP5"
"175"	"Negative Regulation of Cellular Senescence (GO:2000773)"	"175"	0.000871016359202318	0.0101766205131661	0	0	18.76866359447	132.241184618273	"CDK6;PTEN;HMGA2"
"176"	"Negative Regulation of Fibroblast Proliferation (GO:0048147)"	"176"	0.000871016359202318	0.0101766205131661	0	0	18.76866359447	132.241184618273	"SKI;MYC;PEX2"
"177"	"Negative Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)"	"177"	0.000871016359202318	0.0101766205131661	0	0	18.76866359447	132.241184618273	"MEF2C;PTEN;PRKG1"
"178"	"Protein Modification Process (GO:0036211)"	"178"	0.000885765092272431	0.0102907989371876	0	0	2.95569000091149	20.7757187382349	"USP25;RYK;IGFBP3;PTEN;PRKCA;PTPN14;LOXL2;UBE2L3;PPM1B;LATS2;ABL1;PTPN9;PKN2"
"179"	"Positive Regulation of Cell Cycle G1/S Phase Transition (GO:1902808)"	"179"	0.000940559196989511	0.0108663487115883	0	0	10.1811811811812	70.9530178602172	"KMT2E;CCND3;CCND2;EZH2"
"180"	"Striated Muscle Cell Differentiation (GO:0051146)"	"180"	0.00102622093354133	0.0116502825361201	0	0	17.5947580645161	121.084876752005	"SKI;MEF2C;BMP2"
"181"	"Mesenchyme Development (GO:0060485)"	"181"	0.00102622093354133	0.0116502825361201	0	0	17.5947580645161	121.084876752005	"BMP2;HMGA2;SOX4"
"182"	"Pharyngeal System Development (GO:0060037)"	"182"	0.00102622093354133	0.0116502825361201	0	0	17.5947580645161	121.084876752005	"TGFB2;PTCH1;BMP5"
"183"	"Positive Regulation of Myoblast Differentiation (GO:0045663)"	"183"	0.00103094859966634	0.0116502825361201	0	0	9.91276803118908	68.1728409808073	"MEF2C;IGFBP3;BOC;SOX4"
"184"	"Neurogenesis (GO:0022008)"	"184"	0.00103913057814143	0.0116789241065026	0	0	7.05032974661576	48.4313299828009	"TGFB2;CDK6;RYK;FGF18;LPAR1"
"185"	"Regulation of Germinal Center Formation (GO:0002634)"	"185"	0.00111164959027849	0.0122281454930634	0	0	62.3119266055046	423.840132242171	"MEF2C;BCL6"
"186"	"Chemorepulsion of Axon (GO:0061643)"	"186"	0.00111164959027849	0.0122281454930634	0	0	62.3119266055046	423.840132242171	"RYK;WNT5A"
"187"	"Negative Regulation of Vascular Associated Smooth Muscle Cell Migration (GO:1904753)"	"187"	0.00111164959027849	0.0122281454930634	0	0	62.3119266055046	423.840132242171	"MEF2C;PRKG1"
"188"	"Positive Regulation of Steroid Hormone Biosynthetic Process (GO:0090031)"	"188"	0.00111164959027849	0.0122281454930634	0	0	62.3119266055046	423.840132242171	"BMP6;WNT4"
"189"	"Regulation of Protein Import Into Nucleus (GO:0042306)"	"189"	0.00112726826792005	0.0123343427410511	0	0	9.65811965811966	65.5589109368533	"NFKBIA;SUFU;ZIC1;PIK3R1"
"190"	"Sensory Organ Development (GO:0007423)"	"190"	0.00117596295904618	0.0127994284174079	0	0	6.84529828109201	46.1761090683272	"SMCHD1;TGFB2;SMOC1;ECE1;BMPR1B"
"191"	"Response to Fatty Acid (GO:0070542)"	"191"	0.00119785597472467	0.0129694563127257	0	0	16.558959067498	111.395793867581	"IRS1;FOXO3;FOXO1"
"192"	"Cardiac Ventricle Morphogenesis (GO:0003208)"	"192"	0.0012297239352405	0.0132451515524863	0	0	9.4162037037037	63.0976568909677	"MEF2C;TGFB2;JAG1;SOX4"
"193"	"Macromolecule Modification (GO:0043412)"	"193"	0.00124917051954783	0.0133848944788856	0	0	6.74717607973422	45.1067311579617	"USP25;PARN;ABL1;LOXL2;UBE2L3"
"194"	"Regulation of Wnt Signaling Pathway (GO:0030111)"	"194"	0.00129500874750114	0.0138045262362493	0	0	5.36228178451772	35.655086891514	"SKI;SFRP4;BMP2;GRB10;SPIN1;VGLL4"
"195"	"Negative Regulation of Cell Cycle (GO:0045786)"	"195"	0.00132569238033739	0.0139098562632035	0	0	6.65181788404848	44.0737506653299	"BMP2;LATS2;CDK6;GAS1;PML"
"196"	"Positive Regulation of Secretion by Cell (GO:1903532)"	"196"	0.00132569238033739	0.0139098562632035	0	0	6.65181788404848	44.0737506653299	"TGFB2;BMP2;IGF1;BMP6;CD2AP"
"197"	"Regulation of Cell Differentiation (GO:0045595)"	"197"	0.00133767789438067	0.0139098562632035	0	0	4.00973187686197	26.5316744098409	"SUZ12;CDK6;BCL6;SMOC1;TRPS1;LEF1;CTNNB1;RUNX2"
"198"	"Regulation of Hippo Signaling (GO:0035330)"	"198"	0.00133852098470865	0.0139098562632035	0	0	9.18608852755194	60.7769072144519	"DLG5;WWC2;PTPN14;VGLL4"
"199"	"Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0043491)"	"199"	0.00133852098470865	0.0139098562632035	0	0	9.18608852755194	60.7769072144519	"IRS1;PTEN;PIK3R1;IGF1R"
"200"	"Non-canonical Wnt Signaling Pathway (GO:0035567)"	"200"	0.00145386429749404	0.0150329568360884	0	0	8.96693121693122	58.5857162182787	"SFRP4;RYK;WNT5A;WNT4"
"201"	"Negative Regulation of Growth (GO:0045926)"	"201"	0.00148343712255717	0.0152624277086977	0	0	5.21392437623253	33.96034116071	"TGFB2;CDKN2C;BCL6;SLIT3;VGLL4;PML"
"202"	"Response to BMP (GO:0071772)"	"202"	0.00159290906841065	0.0161513017728003	0	0	14.8144554935726	95.4375863928743	"BMP2;BMPR1B;BMP6"
"203"	"Myoblast Differentiation (GO:0045445)"	"203"	0.00159290906841065	0.0161513017728003	0	0	14.8144554935726	95.4375863928743	"TCF7L2;JAG1;IGF1"
"204"	"Positive Regulation of Cell Motility (GO:2000147)"	"204"	0.00160584583068576	0.0161513017728003	0	0	3.53449183780937	22.7412904181745	"BMP2;DAB2;INSR;LEF1;SPRY2;PRKCA;IGF1;IGF1R;EZH2"
"205"	"Cellular Response to Cold (GO:0070417)"	"205"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"NFKBIA;FOXO1"
"206"	"Dopaminergic Neuron Axon Guidance (GO:0036514)"	"206"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"RYK;WNT5A"
"207"	"Ear Development (GO:0043583)"	"207"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"NIPBL;ECE1"
"208"	"Negative Regulation of Cardiac Muscle Cell Differentiation (GO:2000726)"	"208"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"BMP2;FRS2"
"209"	"Negative Regulation of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569)"	"209"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"BMP2;BMP5"
"210"	"Negative Regulation of Lens Fiber Cell Differentiation (GO:1902747)"	"210"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"SPRED1;SPRY2"
"211"	"Positive Regulation of Neuroepithelial Cell Differentiation (GO:1902913)"	"211"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"BMP2;LEF1"
"212"	"Positive Regulation of Odontoblast Differentiation (GO:1901331)"	"212"	0.00165574273492924	0.0161513017728003	0	0	46.7316513761468	299.246390741907	"BMP2;LEF1"
"213"	"Protein Phosphorylation (GO:0006468)"	"213"	0.00169728094968191	0.0164764117559343	0	0	3.24196933010492	20.6796397297963	"EFEMP1;PKDCC;LATS2;RYK;IGFBP3;INSR;PRKCA;PKN2;FGFR4;IGF1R"
"214"	"Regulation of Ossification (GO:0030278)"	"214"	0.00170500585868953	0.0164764117559343	0	0	8.55850168350168	54.5534878773839	"MEF2C;BMP2;WNT5A;SMAD6"
"215"	"Negative Regulation of Small GTPase Mediated Signal Transduction (GO:0051058)"	"215"	0.0018412100748902	0.0177098717901066	0	0	8.3679012345679	52.6954545111014	"TGFB2;DLC1;SPRY2;CD2AP"
"216"	"Response to Insulin (GO:0032868)"	"216"	0.00185954104142357	0.0178033836743701	0	0	6.13168227121716	38.5524959214128	"IRS1;INSR;GRB10;PIK3R1;FOXO1"
"217"	"Positive Regulation of Insulin Secretion (GO:0032024)"	"217"	0.00198477222534172	0.0189147878433487	0	0	8.18558776167472	50.9327826127468	"TCF7L2;GNAS;PRKCA;SOX4"
"218"	"Mitotic Sister Chromatid Cohesion (GO:0007064)"	"218"	0.00206090632717139	0.0193528700156701	0	0	13.4022383146807	82.8876094411693	"NIPBL;BOD1;PDS5A"
"219"	"Negative Regulation of Cell Communication (GO:0010648)"	"219"	0.00206090632717139	0.0193528700156701	0	0	13.4022383146807	82.8876094411693	"SOCS2;HHIP;IGFBP3"
"220"	"Negative Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)"	"220"	0.00206817421347345	0.0193528700156701	0	0	5.97586105387106	36.9373295239508	"SKI;SPRED1;BMP2;SPRY2;SMAD6"
