"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"17"	"Embryonic Eye Morphogenesis (GO:0048048)"	"17"	6.41452244722954e-07	5.32028038270214e-05	0	0	89.6359649122807	1278.16682923815	"FBN2;EFEMP1;MFAP2;FBN1"
"18"	"Aortic Valve Development (GO:0003176)"	"18"	7.17351696660269e-07	5.50375017329612e-05	0	0	22.6744444444444	320.791228715409	"ADAMTS5;BMP2;SNAI2;SLIT3;NFATC1;SOX9"
"19"	"Regulation of miRNA Transcription (GO:1902893)"	"19"	7.41640094273945e-07	5.50375017329612e-05	0	0	15.9598434004474	225.263641774236	"TGFB2;SMAD3;SOX9;NR3C1;TEAD1;ESR1;NFATC4"
"20"	"Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)"	"20"	1.00624336007544e-06	7.09401568853186e-05	0	0	11.8279569892473	163.335648038817	"MEF2C;TGFB2;SMAD3;ZMIZ1;BAMBI;LTBP2;SOX9;NR3C1"
"21"	"Positive Regulation of RNA Biosynthetic Process (GO:1902680)"	"21"	1.32433116013076e-06	8.8919377894494e-05	0	0	4.46526301894264	60.4355623001048	"MEF2C;SMAD3;DLX5;PCGF5;LEF1;HMGA2;NFATC1;ESR1;POU3F3;GLI2;BMP2;RYBP;SALL1;FUBP3;BAMBI;SOX9;TEAD1"
"22"	"Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718)"	"22"	1.83054730494229e-06	0.000117321440907665	0	0	18.9767441860465	250.699785550276	"TGFB2;BMP2;SMAD3;BAMBI;LEF1;EZH2"
"23"	"Epithelial to Mesenchymal Transition (GO:0001837)"	"23"	2.06723458606338e-06	0.000126730468102146	0	0	18.5445454545455	242.735096427939	"TGFB2;BMP2;LEF1;HMGA2;SNAI2;SOX9"
"24"	"Collagen Fibril Organization (GO:0030199)"	"24"	3.27711607362371e-06	0.000192530569325393	0	0	16.9958333333333	214.632676114159	"TGFB2;ADAMTS3;SERPINH1;LOXL4;LOXL1;FBN1"
"25"	"Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)"	"25"	3.70600803675569e-06	0.000209018853273021	0	0	9.81225868725869	122.707743253882	"TGFB2;BMP2;SMAD3;ZMIZ1;DLX5;BAMBI;LTBP2;BMP6"
"26"	"Positive Regulation of Gene Expression (GO:0010628)"	"26"	4.42726299521026e-06	0.000240093877817172	0	0	4.81727928546891	59.3861135431966	"MEF2C;SMAD3;LEF1;FN1;HMGA2;PIK3CD;FBLN1;POU3F3;BMP6;BMP2;SMO;FUBP3;ITGB8;SOX9"
"27"	"Regulation of RNA Biosynthetic Process (GO:2001141)"	"27"	6.82414270106813e-06	0.000339146196426167	0	0	4.35014823857691	51.745203992485	"MEF2C;SMAD3;PLAG1;ZBTB38;INSR;SMARCA5;HMGA2;NR3C1;ESR1;BMP2;RYBP;EFEMP1;ZFAT;SNAI2;EZH2"
"28"	"Regulation of Transforming Growth Factor Beta Production (GO:0071634)"	"28"	6.97534730238216e-06	0.000339146196426167	0	0	41.3562753036437	491.028368440469	"TGFB2;SMAD3;FN1;FBLN1"
"29"	"Mesenchyme Morphogenesis (GO:0072132)"	"29"	6.97534730238216e-06	0.000339146196426167	0	0	41.3562753036437	491.028368440469	"ADAMTS5;TGFB2;BMP2;SOX9"
"30"	"Negative Regulation of Osteoblast Differentiation (GO:0045668)"	"30"	8.37242593655314e-06	0.000393504019017997	0	0	21.1206539735099	246.9124177919	"CDK6;BAMBI;PTCH1;CRIM1;SOX9"
"31"	"Aortic Valve Morphogenesis (GO:0003180)"	"31"	1.09246704656112e-05	0.000496896301822962	0	0	19.8763147643163	227.076699250585	"ADAMTS5;SNAI2;SLIT3;NFATC1;SOX9"
"32"	"Embryonic Digestive Tract Development (GO:0048566)"	"32"	1.39506076234538e-05	0.000614698648408435	0	0	33.5970394736842	375.614481131346	"TGFB2;SALL1;PCSK5;GLI2"
"33"	"Digestive Tract Development (GO:0048565)"	"33"	1.58483633995158e-05	0.000677157345252039	0	0	18.2620368713084	201.840145662955	"TGFB2;SALL1;SMO;PCSK5;GLI2"
"34"	"Endocardial Cushion Morphogenesis (GO:0003203)"	"34"	1.71317313334816e-05	0.0007104629758885	0	0	31.6191950464396	347.007328040989	"ADAMTS5;TGFB2;BMP2;SOX9"
