"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"106"	"Positive Regulation of Neuroepithelial Cell Differentiation (GO:1902913)"	"106"	0.000837901122752582	0.0109392646581587	0	0	66.3603896103896	470.137510123603	"BMP2;LEF1"
"107"	"Positive Regulation of Odontoblast Differentiation (GO:1901331)"	"107"	0.000837901122752582	0.0109392646581587	0	0	66.3603896103896	470.137510123603	"BMP2;LEF1"
"108"	"Positive Regulation of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360)"	"108"	0.000837901122752582	0.0109392646581587	0	0	66.3603896103896	470.137510123603	"BMP2;PTGIS"
"109"	"Positive Regulation of Morphogenesis of an Epithelium (GO:1905332)"	"109"	0.00086701696608867	0.011113581110773	0	0	18.2005347593583	128.321996925342	"SMO;PIK3CD;SOX9"
"110"	"Myotube Differentiation (GO:0014902)"	"110"	0.00086701696608867	0.011113581110773	0	0	18.2005347593583	128.321996925342	"DOCK5;ADAMTS5;MEF2C"
"111"	"Negative Regulation of Wnt Signaling Pathway (GO:0030178)"	"111"	0.00093281779079819	0.0118493070723013	0	0	5.71859154929578	39.900332648826	"TLE3;BMP2;LATS2;SNAI2;NFATC1;SOX9"
"112"	"Renal System Development (GO:0072001)"	"112"	0.000977127120472044	0.0123013324987998	0	0	9.93615984405458	68.8664686720105	"TGFB2;SALL1;PCSK5;GLI2"
"113"	"Regulation of Chondrocyte Differentiation (GO:0032330)"	"113"	0.00109046240752969	0.0136066548196182	0	0	16.6821895424837	113.791774678007	"EFEMP1;SNAI2;SOX9"
"114"	"Cellular Response to BMP Stimulus (GO:0071773)"	"114"	0.0011099957293853	0.0137288945476603	0	0	9.58035714285714	65.1789932694084	"BMP2;DLX5;SOX9;BMP6"
"115"	"Regulation of Aldosterone Biosynthetic Process (GO:0032347)"	"115"	0.0011672306873292	0.014066626231916	0	0	53.0857142857143	358.49426625982	"BMP2;BMP6"
"116"	"Pituitary Gland Development (GO:0021983)"	"116"	0.0011672306873292	0.014066626231916	0	0	53.0857142857143	358.49426625982	"SALL1;GLI2"
"117"	"Type B Pancreatic Cell Development (GO:0003323)"	"117"	0.0011672306873292	0.014066626231916	0	0	53.0857142857143	358.49426625982	"CDK6;BMP6"
"118"	"Regulation of Bone Mineralization (GO:0030500)"	"118"	0.00118096222780398	0.0141114978068102	0	0	9.4118190212373	63.4490788736094	"FBN2;MEF2C;BMP2;BMP6"
"119"	"Regulation of Angiogenesis (GO:0045765)"	"119"	0.00121553588636323	0.0144025680653122	0	0	4.61520166807845	30.9798653719368	"SMOC2;TGFB2;PTGIS;FGF18;HMGA2;ITGB8;PIK3CD"
"120"	"Regulation of SMAD Protein Signal Transduction (GO:0060390)"	"120"	0.00125504704785625	0.014746802812311	0	0	9.24909255898367	61.7893232892985	"TGFB2;BMP2;SMAD3;BMP6"
"121"	"Positive Regulation of Fibroblast Proliferation (GO:0048146)"	"121"	0.00134723000845819	0.0156991265448434	0	0	15.3974358974359	101.77250349596	"CDK6;FN1;FBLN1"
"122"	"Positive Regulation of Nitric Oxide Biosynthetic Process (GO:0045429)"	"122"	0.00148865710464949	0.0171928483106375	0	0	14.8264342774147	96.5183203904306	"SMAD3;INSR;ESR1"
"123"	"Contact Inhibition (GO:0060242)"	"123"	0.00154857569890139	0.0171928483106375	0	0	44.2359307359307	286.225036550781	"LATS2;SMO"
"124"	"Dendritic Spine Maintenance (GO:0097062)"	"124"	0.00154857569890139	0.0171928483106375	0	0	44.2359307359307	286.225036550781	"INSR;IGF1R"
"125"	"Positive Regulation of Astrocyte Differentiation (GO:0048711)"	"125"	0.00154857569890139	0.0171928483106375	0	0	44.2359307359307	286.225036550781	"BMP2;SERPINE2"
"126"	"Regulatory ncRNA-mediated Heterochromatin Formation (GO:0031048)"	"126"	0.00154857569890139	0.0171928483106375	0	0	44.2359307359307	286.225036550781	"DNMT3A;EZH2"
"127"	"Positive Regulation of Myeloid Cell Apoptotic Process (GO:0033034)"	"127"	0.00154857569890139	0.0171928483106375	0	0	44.2359307359307	286.225036550781	"MEF2C;PIK3CD"
"128"	"Positive Regulation of T Cell Differentiation (GO:0045582)"	"128"	0.00167477934150776	0.0184487411837964	0	0	8.51294903926483	54.4153990151505	"BCL6;ZMIZ1;LEF1;GLI2"
"129"	"Chromatin Organization (GO:0006325)"	"129"	0.0017630053503097	0.0192700584801293	0	0	3.49449211502783	22.1576496518872	"KDM4B;CENPW;RYBP;SATB2;SMARCA5;HMGA2;SOX9;ESR1;EZH2"
"130"	"Negative Regulation of Growth (GO:0045926)"	"130"	0.00183664307781565	0.019920513382462	0	0	6.1207104154124	38.5593481079493	"TGFB2;SMAD3;CDKN2C;BCL6;SLIT3"
"131"	"Chordate Embryonic Development (GO:0043009)"	"131"	0.00186702663560814	0.0199432390621779	0	0	8.2502024291498	51.8393891659372	"BMP2;DLX5;PTCH1;PCSK5"
"132"	"Eye Development (GO:0001654)"	"132"	0.00186702663560814	0.0199432390621779	0	0	8.2502024291498	51.8393891659372	"FBN2;TGFB2;EFEMP1;FBN1"
"133"	"Negative Regulation of Ossification (GO:0030279)"	"133"	0.00196758874909778	0.0203898311038544	0	0	13.3418300653595	83.132228964348	"MEF2C;SMAD3;SOX9"
"134"	"Limb Development (GO:0060173)"	"134"	0.00196758874909778	0.0203898311038544	0	0	13.3418300653595	83.132228964348	"SALL1;PTCH1;PCSK5"
"135"	"Kidney Development (GO:0001822)"	"135"	0.00196865506797191	0.0203898311038544	0	0	8.12480063795853	50.6207958862702	"TGFB2;SALL1;PCSK5;GLI2"
"136"	"Regulation of Heart Morphogenesis (GO:2000826)"	"136"	0.00198113961789224	0.0203898311038544	0	0	37.9146567717996	235.983972000966	"BMP2;SMO"
"137"	"Endochondral Ossification (GO:0001958)"	"137"	0.00198113961789224	0.0203898311038544	0	0	37.9146567717996	235.983972000966	"MEF2C;DLX5"
"138"	"Negative Regulation of Canonical Wnt Signaling Pathway (GO:0090090)"	"138"	0.00229446808405442	0.0232748201332139	0	0	5.80240922585065	35.2627160351242	"TLE3;BMP2;LATS2;SNAI2;SOX9"
"139"	"Positive Regulation of Wnt Signaling Pathway (GO:0030177)"	"139"	0.00229446808405442	0.0232748201332139	0	0	5.80240922585065	35.2627160351242	"BMP2;SALL1;BAMBI;FAM53B;GPC5"
"140"	"Regulation of Cardiac Muscle Cell Differentiation (GO:2000725)"	"140"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"BMP2;MEF2C"
"141"	"Cellular Response to Cholesterol (GO:0071397)"	"141"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"SMO;PTCH1"
"142"	"Regulation of Odontoblast Differentiation (GO:1901329)"	"142"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"BMP2;LEF1"
"143"	"Positive Regulation of Branching Involved in Ureteric Bud Morphogenesis (GO:0090190)"	"143"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"SMO;SOX9"
"144"	"Positive Regulation of Cardiocyte Differentiation (GO:1905209)"	"144"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"MEF2C;TGFB2"
"145"	"Positive Regulation of Leukocyte Apoptotic Process (GO:2000108)"	"145"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"MEF2C;PIK3CD"
"146"	"Somite Development (GO:0061053)"	"146"	0.00246413484163232	0.0237974666212436	0	0	33.1737012987013	199.238413984249	"SMO;PTCH1"
"147"	"Negative Regulation of Epithelial Cell Proliferation (GO:0050680)"	"147"	0.00253466811814638	0.0241569917531461	0	0	7.55077835433655	45.1362316692516	"TGFB2;CDK6;SNAI2;SOX9"
"148"	"Negative Regulation of Gene Expression (GO:0010629)"	"148"	0.00253562750316711	0.0241569917531461	0	0	3.3033245556287	19.7450085648139	"MEF2C;BMP2;TGFB2;SMAD3;ITGB8;CCDC3;IGF2BP2;ESR1;EZH2"
"149"	"Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)"	"149"	0.00264255062755034	0.0250066871466173	0	0	5.60789183222958	33.2885058164971	"FBN2;BMP2;LATS2;BAMBI;FBN1"
"150"	"Positive Regulation of Intracellular Signal Transduction (GO:1902533)"	"150"	0.0026908196568747	0.0252937047746222	0	0	2.60641245546906	15.4245128398898	"HEXIM1;MEF2C;TGFB2;SMAD3;PTGIS;IRS1;INSR;FN1;BMP6;IGF1R;BMP2;FGF18;SLC38A9"
"151"	"Embryonic Limb Morphogenesis (GO:0030326)"	"151"	0.00274082444125105	0.0254247530405525	0	0	11.7698961937716	69.4364615520356	"TGFB2;SALL1;PTCH1"
"152"	"MiRNA Processing (GO:0035196)"	"152"	0.00274082444125105	0.0254247530405525	0	0	11.7698961937716	69.4364615520356	"LIN28B;SMAD3;TNRC6A"
"153"	"Regulation of Cell Motility (GO:2000145)"	"153"	0.00283025389723959	0.0260827319941687	0	0	5.51541635001628	32.3610924228375	"CDK6;SERPINE2;FGF18;ENPP2;FBLN1"
"154"	"Neg Reg Transmembrane Rec Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)"	"154"	0.00292763835471248	0.0265752420961518	0	0	5.47030635869273	31.9113560033282	"FBN2;BMP2;BAMBI;CRIM1;FBN1"
"155"	"Negative Regulation of Protein Maturation (GO:1903318)"	"155"	0.00299678261935329	0.0265752420961518	0	0	29.4862914862915	171.321723341741	"SERPINE2;GAS1"
"156"	"Embryonic Appendage Morphogenesis (GO:0035113)"	"156"	0.00299678261935329	0.0265752420961518	0	0	29.4862914862915	171.321723341741	"TGFB2;PTCH1"
"157"	"Smooth Muscle Tissue Development (GO:0048745)"	"157"	0.00299678261935329	0.0265752420961518	0	0	29.4862914862915	171.321723341741	"SMO;PTCH1"
"158"	"Steroid Hormone Receptor Signaling Pathway (GO:0043401)"	"158"	0.00299678261935329	0.0265752420961518	0	0	29.4862914862915	171.321723341741	"NR3C1;ESR1"
"159"	"Type B Pancreatic Cell Differentiation (GO:0003309)"	"159"	0.00299678261935329	0.0265752420961518	0	0	29.4862914862915	171.321723341741	"CDK6;BMP6"
"160"	"Positive Regulation of Carbohydrate Metabolic Process (GO:0045913)"	"160"	0.00318833599460662	0.0277503318049095	0	0	11.1149237472767	63.8914285655142	"IRS1;INSR;ZBTB20"
"161"	"Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902)"	"161"	0.00318833599460662	0.0277503318049095	0	0	11.1149237472767	63.8914285655142	"FGF18;HMGA2;EZH2"
"162"	"Ventricular Septum Development (GO:0003281)"	"162"	0.00318833599460662	0.0277503318049095	0	0	11.1149237472767	63.8914285655142	"TGFB2;SALL1;SLIT3"
"163"	"Camera-type Eye Development (GO:0043010)"	"163"	0.00342788489915863	0.0296522558761575	0	0	10.8139904610493	61.3781752639269	"FBN2;EFEMP1;FBN1"
"164"	"Cardiac Muscle Cell Membrane Repolarization (GO:0099622)"	"164"	0.00357831296750462	0.0302121034980929	0	0	26.5363636363636	149.475722847673	"KCNQ1;KCNJ2"
"165"	"Negative Regulation of Steroid Biosynthetic Process (GO:0010894)"	"165"	0.00357831296750462	0.0302121034980929	0	0	26.5363636363636	149.475722847673	"BMP2;SNAI2"
"166"	"Insulin-like Growth Factor Receptor Signaling Pathway (GO:0048009)"	"166"	0.00357831296750462	0.0302121034980929	0	0	26.5363636363636	149.475722847673	"IRS1;IGF1R"
"167"	"Negative Regulation of DNA Binding (GO:0043392)"	"167"	0.00357831296750462	0.0302121034980929	0	0	26.5363636363636	149.475722847673	"LEF1;HMGA2"
"168"	"Branching Morphogenesis of an Epithelial Tube (GO:0048754)"	"168"	0.00367816516752943	0.0305071346248029	0	0	10.5288957688338	59.0180537375822	"BMP2;SALL1;GLI2"
"169"	"Negative Regulation of Proteolysis (GO:0045861)"	"169"	0.00367816516752943	0.0305071346248029	0	0	10.5288957688338	59.0180537375822	"SERPINE2;TIMP3;GAS1"
"170"	"Odontogenesis (GO:0042476)"	"170"	0.00367816516752943	0.0305071346248029	0	0	10.5288957688338	59.0180537375822	"TGFB2;BMP2;GLI2"
"171"	"Negative Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)"	"171"	0.00381828202388633	0.0313010328702309	0	0	6.6983552631579	37.2961385993723	"FBN2;BMP2;BAMBI;FBN1"
"172"	"Pos Reg Transmembrane Rec Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)"	"172"	0.00381828202388633	0.0313010328702309	0	0	6.6983552631579	37.2961385993723	"TGFB2;BMP2;SMAD3;BMP6"
"173"	"Regulation of Astrocyte Differentiation (GO:0048710)"	"173"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"BMP2;SERPINE2"
"174"	"Regulation of Branching Involved in Ureteric Bud Morphogenesis (GO:0090189)"	"174"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"SMO;SOX9"
"175"	"Cellular Component Maintenance (GO:0043954)"	"175"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"INSR;IGF1R"
"176"	"Cytosolic Transport (GO:0016482)"	"176"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"CCDC91;AP1G1"
"177"	"Endochondral Bone Morphogenesis (GO:0060350)"	"177"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"MEF2C;DLX5"
"178"	"Golgi to Lysosome Transport (GO:0090160)"	"178"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"CCDC91;AP1G1"
"179"	"Positive Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748)"	"179"	0.00420796458181533	0.0329900540104893	0	0	24.1227863046045	131.970365686254	"SMOC2;ADAMTS3"
"180"	"Notch Signaling Pathway (GO:0007219)"	"180"	0.00421149625665821	0.0329900540104893	0	0	10.0014705882353	54.7074169158989	"BMP2;GMDS;SNAI2"
"181"	"Connective Tissue Development (GO:0061448)"	"181"	0.00478943127452519	0.0358741067869525	0	0	9.52427637721755	50.8724327334223	"ITGB8;SOX9;ABHD15"
"182"	"Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0043491)"	"182"	0.00478943127452519	0.0358741067869525	0	0	9.52427637721755	50.8724327334223	"IRS1;PIK3CD;IGF1R"
"183"	"Negative Regulation of BMP Signaling Pathway (GO:0030514)"	"183"	0.00478943127452519	0.0358741067869525	0	0	9.52427637721755	50.8724327334223	"BAMBI;CRIM1;FBN1"
"184"	"Calcineurin-NFAT Signaling Cascade (GO:0033173)"	"184"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"NFATC1;NFATC4"
"185"	"Cardiocyte Differentiation (GO:0035051)"	"185"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"TGFB2;BMP2"
"186"	"Regulation of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035358)"	"186"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"BMP2;PTGIS"
"187"	"Forebrain Neuron Differentiation (GO:0021879)"	"187"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"BMP2;SALL1"
"188"	"Regulation of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)"	"188"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"DOCK5;MEF2C"
"189"	"Positive Regulation of Glycogen Biosynthetic Process (GO:0045725)"	"189"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"IRS1;INSR"
"190"	"Secondary Palate Development (GO:0062009)"	"190"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"TGFB2;LEF1"
"191"	"Positive Regulation of Protein-Containing Complex Disassembly (GO:0043243)"	"191"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"INSR;IGF1R"
"192"	"Muscle Tissue Development (GO:0060537)"	"192"	0.004884984753968	0.0358741067869525	0	0	22.1114718614719	117.668167963171	"SMO;PTCH1"
"193"	"Positive Regulation of Biosynthetic Process (GO:0009891)"	"193"	0.00507807805478722	0.0370989122137305	0	0	6.15728977616455	32.5278685045936	"SMAD3;INSR;ZBTB20;ESR1"
"194"	"Regulation of Fibroblast Proliferation (GO:0048145)"	"194"	0.005412992674036	0.0393418539710864	0	0	9.09046345811052	47.442703032114	"CDK6;FN1;FBLN1"
"195"	"Cellular Response to Sterol (GO:0036315)"	"195"	0.00560862928670981	0.0403477923176573	0	0	20.4095904095904	105.792069431988	"SMO;PTCH1"
"196"	"Positive Regulation of Endothelial Cell Chemotaxis (GO:2001028)"	"196"	0.00560862928670981	0.0403477923176573	0	0	20.4095904095904	105.792069431988	"SMOC2;FGF18"
"197"	"Negative Regulation of Cold-Induced Thermogenesis (GO:0120163)"	"197"	0.0057421816826886	0.0410988638202585	0	0	8.8880174291939	45.8614238457691	"ADAMTS5;TLE3;NPR3"
"198"	"Regulation of Cold-Induced Thermogenesis (GO:0120161)"	"198"	0.00589745029096666	0.0419969944962777	0	0	4.60332940215912	23.629972411804	"TLE3;ADAMTS5;NPR3;MFAP2;IGF1R"
"199"	"Lysosomal Transport (GO:0007041)"	"199"	0.00608312599974101	0.0431015460283157	0	0	8.69437340153453	44.3607499263435	"CCDC91;AP1G1;TMEM106B"
"200"	"Odontogenesis of Dentin-Containing Tooth (GO:0042475)"	"200"	0.00637816240803523	0.044520836610543	0	0	18.9508348794063	95.7941061405912	"BMP2;GLI2"
"201"	"Positive Regulation of Glycogen Metabolic Process (GO:0070875)"	"201"	0.00637816240803523	0.044520836610543	0	0	18.9508348794063	95.7941061405912	"IRS1;INSR"
"202"	"Membrane Repolarization During Action Potential (GO:0086011)"	"202"	0.00637816240803523	0.044520836610543	0	0	18.9508348794063	95.7941061405912	"KCNQ1;KCNJ2"
"203"	"Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518)"	"203"	0.00643593222487617	0.0447027804782039	0	0	8.50896954526491	42.9350569914924	"ZMIZ1;NR3C1;ESR1"
"204"	"Regulation of MAPK Cascade (GO:0043408)"	"204"	0.00657819122045926	0.0454669099061155	0	0	3.35872721214717	16.8742302717283	"MEF2C;BMP2;INSR;FGF18;FN1;GRB2;IGF1R"
"205"	"Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)"	"205"	0.0068007024730555	0.0467755633512598	0	0	8.3312908496732	41.5792179107698	"EFEMP1;GRB2;SOX9"
"206"	"Negative Regulation of Protein Processing (GO:0010955)"	"206"	0.00719285669362397	0.0485259709952622	0	0	17.6865800865801	87.2773808203422	"SERPINE2;GAS1"
"207"	"Regulation of Osteoblast Proliferation (GO:0033688)"	"207"	0.00719285669362397	0.0485259709952622	0	0	17.6865800865801	87.2773808203422	"BMP2;NPR3"
"208"	"Regulation of Stem Cell Proliferation (GO:0072091)"	"208"	0.00719285669362397	0.0485259709952622	0	0	17.6865800865801	87.2773808203422	"HMGA2;FBLN1"
"209"	"Membrane Repolarization During Cardiac Muscle Cell Action Potential (GO:0086013)"	"209"	0.00719285669362397	0.0485259709952622	0	0	17.6865800865801	87.2773808203422	"KCNQ1;KCNJ2"
